Ticker,InvName,B3Name,nosName1,EDJ,nosName
RNEW3,Renova Energia,RENOVA ON N2,RENOVAONN2,RENOVAONEDJN2,RENOVAONN
RNEW4,Renova Energia Pref,RENOVA PN N2,RENOVAPNN2,RENOVAPNEDJN2,RENOVAPNN
AZUL4,Azul SA Pref,AZUL PN N2,AZULPNN2,AZULPNEDJN2,AZULPNN
KNIP11,Kinea Private Equity,FII KINEA IPCI,FIIKINEAIPCI,FIIKINEAIPEDJCI,FIIKINEAIPN
TEND3,Tenda,TENDA ON NM,TENDAONNM,TENDAONEDJNM,TENDAONN
TSLA34,Tesla Motors DRC,TESLA INC DRN,TESLAINCDRN,TESLAINCDEDJRN,TESLAINCDN
CRFB3,Atacadao,CARREFOUR BRON NM,CARREFOURBRONNM,CARREFOURBRONEDJNM,CARREFOURBRONN
OMGE3,Omega Geracao,OMEGA GER ON NM,OMEGAGERONNM,OMEGAGERONEDJNM,OMEGAGERONN
IRBR3,IRB Brasil Resseguros,IRBBRASIL REON NM,IRBBRASILREONNM,IRBBRASILREONEDJNM,IRBBRASILREONN
GGRC11,GGR Covepi Renda FII,FII GGRCOVEPCI,FIIGGRCOVEPCI,FIIGGRCOVEPEDJCI,FIIGGRCOVEPN
GEPA3,Rio Paranapanema Energia,GER PARANAP ON,GERPARANAPON,GERPARANAPEDJON,GERPARANAPN
SAPR3,SANEPAR ON N2,SANEPAR ON N2,SANEPARONN2,SANEPARONEDJN2,SANEPARONN
CAML3,Camil Alimentos,CAMIL ON NM,CAMILONNM,CAMILONEDJNM,CAMILONN
VISC11,Vinci Shopping Centers FII,FII VINCI SCCI,FIIVINCISCCI,FIIVINCISCEDJCI,FIIVINCISCN
SUZB3,Suzano Papel Celulose,SUZANO S.A. ON NM,SUZANOS.A.ONNM,SUZANOS.A.ONEDJNM,SUZANOS.A.ONN
SAPR11,Parana Sanepar Unit,SANEPAR UNT N2,SANEPARUNTN2,SANEPARUNTEDJN2,SANEPARUNTN
BRDT3,Petrobras Distribuidora,PETROBRAS BRON NM,PETROBRASBRONNM,PETROBRASBRONEDJNM,PETROBRASBRONN
NEOE3,NEOENERGIA,NEOENERGIA ON NM,NEOENERGIAONNM,NEOENERGIAONEDJNM,NEOENERGIAONN
BKBR3,BK BRASIL OPERACAO,BK BRASIL ON NM,BKBRASILONNM,BKBRASILONEDJNM,BKBRASILONN
FMXB34,Fomento Economico Mexicano DRC,FEMSA DRN,FEMSADRN,FEMSADEDJRN,FEMSADN
HONB34,Honeywell DRC,HONEYWELL DRN,HONEYWELLDRN,HONEYWELLDEDJRN,HONEYWELLDN
ALZR11,Alianza Trust Renda Imobiliaria,FII ALIANZA CI,FIIALIANZACI,FIIALIANZAEDJCI,FIIALIANZAN
DDNB34,DuPont Nemours,DUPONT N INCDRN,DUPONTNINCDRN,DUPONTNINCDEDJRN,DUPONTNINCDN
UBSG34,UBS BDR,UBS GROUP DRN,UBSGROUPDRN,UBSGROUPDEDJRN,UBSGROUPDN
TXRX4,Textil Renauxview Pref,TEX RENAUX PN,TEXRENAUXPN,TEXRENAUXEDJPN,TEXRENAUXN
OUJP11,Ourinvest JPP FII,FII OURI JPPCI,FIIOURIJPPCI,FIIOURIJPPEDJCI,FIIOURIJPPN
BCIA11,Bradesco Carteira Ativa FII,FII BCIA CI,FIIBCIACI,FIIBCIAEDJCI,FIIBCIAN
BOXP34,Boston Properties DRC,BOSTON PROP DRN,BOSTONPROPDRN,BOSTONPROPDEDJRN,BOSTONPROPDN
GPRO34,GoPro BDR,GOPRO DRN,GOPRODRN,GOPRODEDJRN,GOPRODN
MSPA3,Companhia Melhoramentos,MELHOR SP ON,MELHORSPON,MELHORSPEDJON,MELHORSPN
HFOF11,Hedge Top Fofii 3 FII,FII HTOPFOF3CI,FIIHTOPFOF3CI,FIIHTOPFOF3EDJCI,FIIHTOPFOF3N
RBRF11,FII RBR ALPHA Fundo,FII RBRALPHACI,FIIRBRALPHACI,FIIRBRALPHAEDJCI,FIIRBRALPHAN
HAPV3,Hapvida,HAPVIDA ON NM,HAPVIDAONNM,HAPVIDAONEDJNM,HAPVIDAONN
GNDI3,Notre Dame,INTERMEDICA ON NM,INTERMEDICAONNM,INTERMEDICAONEDJNM,INTERMEDICAONN
BIDI4,Banco Inter PN,BANCO INTER PN N2,BANCOINTERPNN2,BANCOINTERPNEDJN2,BANCOINTERPNN
JPSA3,Jereissati Participacoes,JEREISSATI ON,JEREISSATION,JEREISSATIEDJON,JEREISSATIN
GPIV33,GP Invest DRC A,GP INVEST DR3,GPINVESTDR3,GPINVESTDEDJR3,GPINVESTDN
IRDM11,IRIDIUM RECEBÍVEIS IMOBILIÁRIOS,FII IRIDIUM CI,FIIIRIDIUMCI,FIIIRIDIUMEDJCI,FIIIRIDIUMN
THRA11,FII CYRELA THERA CORPORATE,FII BM THERACI,FIIBMTHERACI,FIIBMTHERAEDJCI,FIIBMTHERAN
TAEE4,TAEE Pref,TAESA PN N2,TAESAPNN2,TAESAPNEDJN2,TAESAPNN
XPLG11,XP LOG FII,FII XP LOG CI,FIIXPLOGCI,FIIXPLOGEDJCI,FIIXPLOGN
RBRR11,FII RBR Rendimento High Grade,FII RBRHGRADCI,FIIRBRHGRADCI,FIIRBRHGRADEDJCI,FIIRBRHGRADN
WPLZ11,Fundo Inves,FII W PLAZA CI,FIIWPLAZACI,FIIWPLAZAEDJCI,FIIWPLAZAN
MGFF11,FII Mogno Fundo De Fundos,FII MOGNO CI,FIIMOGNOCI,FIIMOGNOEDJCI,FIIMOGNON
TGAR11,FII TG Ativo Real,FII TG ATIVOCI,FIITGATIVOCI,FIITGATIVOEDJCI,FIITGATIVON
HGRU11,CSHG RENDA URBANA FII,FII CSHG URBCI,FIICSHGURBCI,FIICSHGURBEDJCI,FIICSHGURBN
ALUP3,Alupar Invest,ALUPAR ON N2,ALUPARONN2,ALUPARONEDJN2,ALUPARONN
ALUP4,Alupar Invest Pref,ALUPAR PN N2,ALUPARPNN2,ALUPARPNEDJN2,ALUPARPNN
LOGG3,Log Commercial Properties,LOG COM PROPON NM,LOGCOMPROPONNM,LOGCOMPROPONEDJNM,LOGCOMPROPONN
KNHY11,KINEA HIGH YIELD CRI FII,FII KINEA HYCI,FIIKINEAHYCI,FIIKINEAHYEDJCI,FIIKINEAHYN
OUCY11,OURINVESTY CYRELA FII,FII OURICYRECI,FIIOURICYRECI,FIIOURICYREEDJCI,FIIOURICYREN
FVPQ11,FII VIA PARQUE SHOPPING,FII V PARQUECI,FIIVPARQUECI,FIIVPARQUEEDJCI,FIIVPARQUEN
CARE11,Brazilian Graveyard and Death Care Services FII,FII DEA CARECI,FIIDEACARECI,FIIDEACAREEDJCI,FIIDEACAREN
TAEE3,TAEE 3,TAESA ON N2,TAESAONN2,TAESAONEDJN2,TAESAONN
XPIN11,FII XP Industrial,FII XP INDL CI,FIIXPINDLCI,FIIXPINDLEDJCI,FIIXPINDLN
VSHO11,FI Imobiliario Votorantim Shopping,FII VOT SHOPCI,FIIVOTSHOPCI,FIIVOTSHOPEDJCI,FIIVOTSHOPN
AZEV3,Azevedo Travassos,AZEVEDO ON,AZEVEDOON,AZEVEDOEDJON,AZEVEDON
AHEB3,Sao Paulo Turismo,SPTURIS ON,SPTURISON,SPTURISEDJON,SPTURISN
BALM3,Baumer,BAUMER ON,BAUMERON,BAUMEREDJON,BAUMERN
BPAC3,Banco BTG Pactual,BTGP BANCO ON N2,BTGPBANCOONN2,BTGPBANCOONEDJN2,BTGPBANCOONN
EALT3,Electro Aco Altona,ACO ALTONA ON,ACOALTONAON,ACOALTONAEDJON,ACOALTONAN
ECPR3,Encorpar,ENCORPAR ON,ENCORPARON,ENCORPAREDJON,ENCORPARN
HAGA3,Haga Industria Comercio,HAGA S/A ON,HAGAS/AON,HAGAS/AEDJON,HAGAS/AN
LIPR3,Eletrobras Eletropar,ELETROPAR ON,ELETROPARON,ELETROPAREDJON,ELETROPARN
PATI3,Panatlantica,PANATLANTICAON,PANATLANTICAON,PANATLANTICAEDJON,PANATLANTICAN
PEAB3,Alianca Bahia,PAR AL BAHIAON,PARALBAHIAON,PARALBAHIAEDJON,PARALBAHIAN
SULA3,Sul America Pref,SUL AMERICA ON N2,SULAMERICAONN2,SULAMERICAONEDJN2,SULAMERICAONN
BPAC5,Banco BTG Pactual Pref,BTGP BANCO PNA N2,BTGPBANCOPNAN2,BTGPBANCOPNAEDJN2,BTGPBANCOPNAN
BRGE11,Alfa Administracao Pref E,ALFA CONSORCPNE,ALFACONSORCPNE,ALFACONSORCPEDJNE,ALFACONSORCPN
BRGE12,Alfa Administracao Pref F,ALFA CONSORCPNF,ALFACONSORCPNF,ALFACONSORCPEDJNF,ALFACONSORCPN
BRGE6,Alfa Administracao Pref,ALFA CONSORCPNB,ALFACONSORCPNB,ALFACONSORCPEDJNB,ALFACONSORCPN
CORR4,Correa Ribeiro,COR RIBEIRO PN,CORRIBEIROPN,CORRIBEIROEDJPN,CORRIBEIRON
EEEL4,Estadual Geracao Transmissao,CEEE-GT PN N1,CEEE-GTPNN1,CEEE-GTPNEDJN1,CEEE-GTPNN
ENMT4,Energisa Mato Grosso,ENERGISA MT PN,ENERGISAMTPN,ENERGISAMTEDJPN,ENERGISAMTN
LUXM4,Trevisa Invest,TREVISA PN,TREVISAPN,TREVISAEDJPN,TREVISAN
MERC4,Mercantil Brasil Financeira,MERC FINANC PN,MERCFINANCPN,MERCFINANCEDJPN,MERCFINANCN
RSUL4,Metalurgica Riosulense,RIOSULENSE PN,RIOSULENSEPN,RIOSULENSEEDJPN,RIOSULENSEN
SULA4,Sul America,SUL AMERICA PN N2,SULAMERICAPNN2,SULAMERICAPNEDJN2,SULAMERICAPNN
PATC11,PATRIA EDIFICIOS CORPORATIVOS FII,FII PATRIA CI,FIIPATRIACI,FIIPATRIAEDJCI,FIIPATRIAN
BBDC3,BRADESCO ON,BRADESCO ON N1,BRADESCOONN1,BRADESCOONEDJN1,BRADESCOONN
VGIR11,VALORA RE III FII,FII VALREIIICI,FIIVALREIIICI,FIIVALREIIIEDJCI,FIIVALREIIIN
VILG11,VINCI LOGISTICA FII,FII VINCILOGCI,FIIVINCILOGCI,FIIVINCILOGEDJCI,FIIVINCILOGN
CNTO3,Grupo SBF,CENTAURO ON NM,CENTAUROONNM,CENTAUROONEDJNM,CENTAUROONN
BTCR11,FII BTG PACTUAL CREDITO IMOBILIARIO,FII BTG CRI CI,FIIBTGCRICI,FIIBTGCRIEDJCI,FIIBTGCRIN
MELI34,Mercadolibre BDR,MERCADOLIBREDRN,MERCADOLIBREDRN,MERCADOLIBREDEDJRN,MERCADOLIBREDN
MOAR3,Monteiro Aranha,MONT ARANHA ON,MONTARANHAON,MONTARANHAEDJON,MONTARANHAN
RBVA11,FII Rio Bravo Rendo Varejo,FII RIOB VA CI,FIIRIOBVACI,FIIRIOBVAEDJCI,FIIRIOBVAN
MRSA3B,MRS Logistica,MRS LOGISTICA,MRSLOGISTICA,MRSLOGISTIEDJCA,MRSLOGISTIN
VTLT11,FI Imobiliario Votorantim Logistica,FII VOT LOG CI,FIIVOTLOGCI,FIIVOTLOGEDJCI,FIIVOTLOGN
GTWR11,FII Green Towers,FII G TOWERSCI,FIIGTOWERSCI,FIIGTOWERSEDJCI,FIIGTOWERSN
BIDI11,Banco Inter Unit,BANCO INTER UNT N2,BANCOINTERUNTN2,BANCOINTERUNTEDJN2,BANCOINTERUNTN
BIDI3,Banco Inter ON,BANCO INTER ON N2,BANCOINTERONN2,BANCOINTERONEDJN2,BANCOINTERONN
DMAC11,MAC Fundo de Investimento Imobiliario,FII MAC CI,FIIMACCI,FIIMACEDJCI,FIIMACN
HCTR11,Hectare Ce Fdo Inv Imob,FII HECTARE CI,FIIHECTARECI,FIIHECTAREEDJCI,FIIHECTAREN
HSML11,HSI Malls FII,FII HSI MALLCI,FIIHSIMALLCI,FIIHSIMALLEDJCI,FIIHSIMALLN
XPHT11,XP HOTEIS FDO INV IMOB,FII XP HOT CI,FIIXPHOTCI,FIIXPHOTEDJCI,FIIXPHOTN
XPHT12,XP HOTEIS FII,FII XP HOT CI,FIIXPHOTCI,FIIXPHOTEDJCI,FIIXPHOTN
HABT11,FII HABIT II,FII HABIT IICI,FIIHABITIICI,FIIHABITIIEDJCI,FIIHABITIIN
RECT11,FII UBS (BR) OFFICE,FII REC RENDCI,FIIRECRENDCI,FIIRECRENDEDJCI,FIIRECRENDN
AQLL11,Áquilla,FII AQUILLA CI,FIIAQUILLACI,FIIAQUILLAEDJCI,FIIAQUILLAN
ARFI11B,Áquilla Renda,AQ3 RENDA FD DE IN,AQ3RENDAFDDEIN,AQ3RENDAFDDEEDJIN,AQ3RENDAFDDEN
ATCR11,HAZ,FII HAZ CI,FIIHAZCI,FIIHAZEDJCI,FIIHAZN
BARI11,Barigui Rendimento Imobiliários I,FII BARIGUI CI,FIIBARIGUICI,FIIBARIGUIEDJCI,FIIBARIGUIN
BBIM11,BB Recebiveis Imobiliários,FII BB RECIMCI,FIIBBRECIMCI,FIIBBRECIMEDJCI,FIIBBRECIMN
BMII11,Brasilio Machado,FII BRASILIOCI,FIIBRASILIOCI,FIIBRASILIOEDJCI,FIIBRASILION
BPRP11,FII BRLPROP,FII BRLPROP CI,FIIBRLPROPCI,FIIBRLPROPEDJCI,FIIBRLPROPN
BRHT11B,BR Hotéis,FII BR HOTEIS,FIIBRHOTEIS,FIIBRHOTEEDJIS,FIIBRHOTEN
BVAR11,Brasil Varejo,FII B VAREJOCI,FIIBVAREJOCI,FIIBVAREJOEDJCI,FIIBVAREJON
DAMT11B,Diamante,DIAMANTE FUNDO INV,DIAMANTEFUNDOINV,DIAMANTEFUNDOIEDJNV,DIAMANTEFUNDOIN
DOVL11B,DOVEL,DOVEL FD DE INVST,DOVELFDDEINVST,DOVELFDDEINVEDJST,DOVELFDDEINVN
ELDO11B,Eldorado,ELDORADO FD INV IM,ELDORADOFDINVIM,ELDORADOFDINVEDJIM,ELDORADOFDINVN
ERPA11,Europa 105,FII EUROPA CI,FIIEUROPACI,FIIEUROPAEDJCI,FIIEUROPAN
FINF11,Infra Real State,FII INFRA RECI,FIIINFRARECI,FIIINFRAREEDJCI,FIIINFRAREN
FISC11,SC 401,FII SC 401 CI,FIISC401CI,FIISC401EDJCI,FIISC401N
FISD11,São Domingos,FII DOMINGOSCI,FIIDOMINGOSCI,FIIDOMINGOSEDJCI,FIIDOMINGOSN
FPNG11,Pedra Negra Renda Imobiliária,FII P NEGRA CI,FIIPNEGRACI,FIIPNEGRAEDJCI,FIIPNEGRAN
FTCE11B,Opportunity,OPPORTUNITY FD IMB,OPPORTUNITYFDIMB,OPPORTUNITYFDIEDJMB,OPPORTUNITYFDIN
GESE11B,General Severiano,FD DE INV IMOB GEN,FDDEINVIMOBGEN,FDDEINVIMOBGEDJEN,FDDEINVIMOBGN
HGFF11,CSHG Imobiliário FOF,FII CSHG FOFCI,FIICSHGFOFCI,FIICSHGFOFEDJCI,FIICSHGFOFN
HUSC11,Hospital Unimed Sul Capixaba,FII H UNIMEDCI,FIIHUNIMEDCI,FIIHUNIMEDEDJCI,FIIHUNIMEDN
JPPC11,JPP Capital,FII JPP CAPICI,FIIJPPCAPICI,FIIJPPCAPIEDJCI,FIIJPPCAPIN
KINP11,Even Permuta Kinea,FII EV KINEACI,FIIEVKINEACI,FIIEVKINEAEDJCI,FIIEVKINEAN
LATR11B,Lateres,LATERES FD INV IMB,LATERESFDINVIMB,LATERESFDINVIEDJMB,LATERESFDINVIN
NCHB11,NCH Brasil Recebíveis Imobiliários,FII NCH BRA CI,FIINCHBRACI,FIINCHBRAEDJCI,FIINCHBRAN
NPAR11,Nestpar,FII NESTPAR CI,FIINESTPARCI,FIINESTPAREDJCI,FIINESTPARN
NVHO11,Novo Horizonte,FII NOVOHORICI ER,FIINOVOHORICIER,FIINOVOHORICIEDJER,FIINOVOHORICIN
NVIF11B,Nova I,NOVA I FDO INV IMB,NOVAIFDOINVIMB,NOVAIFDOINVIEDJMB,NOVAIFDOINVIN
ORPD11,Ouro Preto Desenvolvimento Imobiliário I,FII OURO PRTCI,FIIOUROPRTCI,FIIOUROPRTEDJCI,FIIOUROPRTN
PBLV11,Prologis Brazil Logistics Venture,FII PROLOGISCI,FIIPROLOGISCI,FIIPROLOGISEDJCI,FIIPROLOGISN
PRSN11B,Personale I,PERSONALE I FUNDO,PERSONALEIFUNDO,PERSONALEIFUNEDJDO,PERSONALEIFUNN
PRTS11,Multi Properties,FII MULTPROPCI,FIIMULTPROPCI,FIIMULTPROPEDJCI,FIIMULTPROPN
RBCO11,RB Capital Office Income,FII R INCOMECI,FIIRINCOMECI,FIIRINCOMEEDJCI,FIIRINCOMEN
RBFF11,Rio Bravo IFIX,FII RIOB FF CI,FIIRIOBFFCI,FIIRIOBFFEDJCI,FIIRIOBFFN
RBRP11,RBR Properties,FII RBR PROPCI,FIIRBRPROPCI,FIIRBRPROPEDJCI,FIIRBRPROPN
RBRY11,RBR Private Crédito Imobiliário,FII RBR PCRICI,FIIRBRPCRICI,FIIRBRPCRIEDJCI,FIIRBRPCRIN
RCFA11,Grupo RCFA,FII GP RCFA CI,FIIGPRCFACI,FIIGPRCFAEDJCI,FIIGPRCFAN
RCRI11B,RB Capital Rendimentos,RB CAP RENDI IMOB,RBCAPRENDIIMOB,RBCAPRENDIIMEDJOB,RBCAPRENDIIMN
RDPD11,BB Renda de Papeis Imobiliários II,FII BB PAPIICI,FIIBBPAPIICI,FIIBBPAPIIEDJCI,FIIBBPAPIIN
REIT11,Socopa Fundo de Investimento Imobiliário,FII REIT RIVCI,FIIREITRIVCI,FIIREITRIVEDJCI,FIIREITRIVN
SADI11,Santander Papeis Imobiliários CDI,FII SANT PAPCI,FIISANTPAPCI,FIISANTPAPEDJCI,FIISANTPAPN
SAIC11B,Sia Corporate,FUNDO INVEST IMOB,FUNDOINVESTIMOB,FUNDOINVESTIMEDJOB,FUNDOINVESTIMN
SFND11,São Fernando,FII SAO FER CI,FIISAOFERCI,FIISAOFEREDJCI,FIISAOFERN
SHDP11B,Shopping Parque Dom Pedro,FII SHOP PARQUE DP,FIISHOPPARQUEDP,FIISHOPPARQUEEDJDP,FIISHOPPARQUEN
SHOP11,Multi Shoppings,FII MULTSHOPCI,FIIMULTSHOPCI,FIIMULTSHOPEDJCI,FIIMULTSHOPN
SPAF11,SPA Fundo de Investimento Imobiliário,FII SPA CI,FIISPACI,FIISPAEDJCI,FIISPAN
STRX11,STARX FII,FII STARX CI ES,FIISTARXCIES,FIISTARXCIEDJES,FIISTARXCIN
TORM13,Tourmalet I,FII TOURMALECI,FIITOURMALECI,FIITOURMALEEDJCI,FIITOURMALEN
TOUR11,Tourmalet II,FII TOUR II CI,FIITOURIICI,FIITOURIIEDJCI,FIITOURIIN
TSNC11,Transinc,FII TRANSINCCI,FIITRANSINCCI,FIITRANSINCEDJCI,FIITRANSINCN
VERE11,Vereda,FII VEREDA CI,FIIVEREDACI,FIIVEREDAEDJCI,FIIVEREDAN
VLJS11,Vector Queluz Lajes Corporativas,FII VQ LAJESCI,FIIVQLAJESCI,FIIVQLAJESEDJCI,FIIVQLAJESN
VPSI11,Polo Shopping Indaiatuba,FII POLO SHOCI,FIIPOLOSHOCI,FIIPOLOSHOEDJCI,FIIPOLOSHON
WTSP11B,Ourinvest RE I,FII OURINVEST RE I,FIIOURINVESTREI,FIIOURINVESTREEDJI,FIIOURINVESTREN
VIVA3,Vivara,VIVARA S.A. ON NM,VIVARAS.A.ONNM,VIVARAS.A.ONEDJNM,VIVARAS.A.ONN
CEAB3,C A Modas SA,CEA MODAS ON NM,CEAMODASONNM,CEAMODASONEDJNM,CEAMODASONN
BMGB4,Banco BMG ON,BANCO BMG PN N1,BANCOBMGPNN1,BANCOBMGPNEDJN1,BANCOBMGPNN
RBCO11,Rb Cap,FII R INCOMECI,FIIRINCOMECI,FIIRINCOMEEDJCI,FIIRINCOMEN
IBFF11,Integral Brei Reit,FII FOF BREICI,FIIFOFBREICI,FIIFOFBREIEDJCI,FIIFOFBREIN
CVBI11,Vbi Cri,FII VBI CRI CI,FIIVBICRICI,FIIVBICRIEDJCI,FIIVBICRIN
HRDF11,Hedge Realty,FII HREALTY CI,FIIHREALTYCI,FIIHREALTYEDJCI,FIIHREALTYN
RSPD11,Rb Cap,FII RBRESID3CI,FIIRBRESID3CI,FIIRBRESID3EDJCI,FIIRBRESID3N
TCPF11,Treecorp,FII TREECORPCI,FIITREECORPCI,FIITREECORPEDJCI,FIITREECORPN
