Ticker,InvName,B3Name,nosName1,EDJ,nosName
QUAL3,QUALICORP ON,QUALICORP ON NM,QUALICORPONNM,QUALICORPONEDJNM,QUALICORPONN
RAPT3,RANDON PART ON,RANDON PART ON N1,RANDONPARTONN1,RANDONPARTONEDJN1,RANDONPARTONN
RAPT4,RANDON PART PN,RANDON PART PN N1,RANDONPARTPNN1,RANDONPARTPNEDJN1,RANDONPARTPNN
RDNI3,RODOBENSIMOB ON,RNI ON NM,RNIONNM,RNIONEDJNM,RNIONN
RENT3,LOCALIZA ON,LOCALIZA ON NM,LOCALIZAONNM,LOCALIZAONEDJNM,LOCALIZAONN
FRTA3,Pomifrutas,POMIFRUTAS ON NM,POMIFRUTASONNM,POMIFRUTASONEDJNM,POMIFRUTASONN
RNEW11,RENOVA UNT,RENOVA UNT N2,RENOVAUNTN2,RENOVAUNTEDJN2,RENOVAUNTN
ROMI3,INDS ROMI ON,INDS ROMI ON NM,INDSROMIONNM,INDSROMIONEDJNM,INDSROMIONN
RSID3,ROSSI RESID ON,ROSSI RESID ON NM,ROSSIRESIDONNM,ROSSIRESIDONEDJNM,ROSSIRESIDONN
SANB11,SANTANDER BR UNT,SANTANDER BRUNT,SANTANDERBRUNT,SANTANDERBRUEDJNT,SANTANDERBRUN
SBSP3,SABESP ON,SABESP ON NM,SABESPONNM,SABESPONEDJNM,SABESPONN
SCAR3,SAO CARLOS ON,SAO CARLOS ON NM,SAOCARLOSONNM,SAOCARLOSONEDJNM,SAOCARLOSONN
SGPS3,SPRINGS ON,SPRINGS ON NM,SPRINGSONNM,SPRINGSONEDJNM,SPRINGSONN
SHOW3,TIME FOR FUN ON,TIME FOR FUNON NM,TIMEFORFUNONNM,TIMEFORFUNONEDJNM,TIMEFORFUNONN
SLCE3,SLC AGRICOLA ON,SLC AGRICOLAON NM,SLCAGRICOLAONNM,SLCAGRICOLAONEDJNM,SLCAGRICOLAONN
SLED4,SARAIVA LIVR PN,SARAIVA LIVRPN N2,SARAIVALIVRPNN2,SARAIVALIVRPNEDJN2,SARAIVALIVRPNN
SMTO3,SAO MARTINHO ON,SAO MARTINHOON NM,SAOMARTINHOONNM,SAOMARTINHOONEDJNM,SAOMARTINHOONN
SULA11,SUL AMERICA UNT,SUL AMERICA UNT N2,SULAMERICAUNTN2,SULAMERICAUNTEDJN2,SULAMERICAUNTN
EGIE3,ENGIE BRASILON NM,ENGIE BRASILON NM,ENGIEBRASILONNM,ENGIEBRASILONEDJNM,ENGIEBRASILONN
TCSA3,TECNISA ON,TECNISA ON NM,TECNISAONNM,TECNISAONEDJNM,TECNISAONN
TECN3,TECHNOS ON,TECHNOS ON NM,TECHNOSONNM,TECHNOSONEDJNM,TECHNOSONN
TEKA4,TEKA PN,TEKA PN,TEKAPN,TEKAEDJPN,TEKAN
TGMA3,TEGMA ON,TEGMA ON NM,TEGMAONNM,TEGMAONEDJNM,TEGMAONN
TOTS3,TOTVS ON,TOTVS ON NM,TOTVSONNM,TOTVSONEDJNM,TOTVSONN
TPIS3,TRIUNFO PART ON,TRIUNFO PARTON NM,TRIUNFOPARTONNM,TRIUNFOPARTONEDJNM,TRIUNFOPARTONN
TRIS3,TRISUL ON,TRISUL ON NM,TRISULONNM,TRISULONEDJNM,TRISULONN
TAEE11,TAESA UNT,TAESA UNT N2,TAESAUNTN2,TAESAUNTEDJN2,TAESAUNTN
TRPL4,TRAN PAULIST PN,TRAN PAULISTPN N1,TRANPAULISTPNN1,TRANPAULISTPNEDJN1,TRANPAULISTPNN
UGPA3,ULTRAPAR ON NM,ULTRAPAR ON NM,ULTRAPARONNM,ULTRAPARONEDJNM,ULTRAPARONN
UNIP3,UNIPAR ON,UNIPAR ON,UNIPARON,UNIPAREDJON,UNIPARN
UNIP6,UNIPAR PNB,UNIPAR PNB,UNIPARPNB,UNIPARPEDJNB,UNIPARPN
USIM3,USIMINAS ON,USIMINAS ON N1,USIMINASONN1,USIMINASONEDJN1,USIMINASONN
USIM5,USIMINAS PNA,USIMINAS PNA N1,USIMINASPNAN1,USIMINASPNAEDJN1,USIMINASPNAN
TESA3,TERRA SANTA ON,TERRA SANTA ON NM,TERRASANTAONNM,TERRASANTAONEDJNM,TERRASANTAONN
VALE3,VALE ON,VALE ON NM,VALEONNM,VALEONEDJNM,VALEONN
VALE3,VALE ON EDJ NM,VALE ON EDJNM,VALEONEDJNM,VALEONEDJEDJNM,VALEONEDJN
VIVR3,VIVER ON,VIVER ON NM,VIVERONNM,VIVERONEDJNM,VIVERONN
VIVT3,TELEF BRASIL ON,TELEF BRASILON,TELEFBRASILON,TELEFBRASILEDJON,TELEFBRASILN
VLID3,VALID ON,VALID ON NM,VALIDONNM,VALIDONEDJNM,VALIDONN
WEGE3,WEG ON,WEG ON NM,WEGONNM,WEGONEDJNM,WEGONN
